epoch;precision;recall;f1;macro_roc_auc
1;0.598;0.1364;0.074;0.7019
2;0.5586;0.4091;0.3798;0.8978
3;0.7914;0.7703;0.7648;0.9888
4;0.939;0.9354;0.9352;0.9991
5;0.9791;0.9785;0.9784;0.9998
6;0.9761;0.9737;0.9738;0.9996
7;0.9882;0.988;0.988;0.9999
8;0.9906;0.9904;0.9904;0.9999
9;0.9928;0.9928;0.9928;0.9999
10;0.9929;0.9928;0.9928;0.9999
11;0.9955;0.9952;0.9952;0.9999
12;0.9929;0.9928;0.9928;0.9999
13;0.9955;0.9952;0.9952;0.9999
14;0.9954;0.9952;0.9952;0.9999
15;0.9955;0.9952;0.9952;0.9999
16;0.9955;0.9952;0.9952;0.9999
17;0.9955;0.9952;0.9952;0.9999
18;0.9955;0.9952;0.9952;0.9999
19;0.9955;0.9952;0.9952;0.9999
20;0.9955;0.9952;0.9952;0.9999
21;0.9955;0.9952;0.9952;0.9999
22;0.9955;0.9952;0.9952;0.9999
23;0.9955;0.9952;0.9952;0.9999
24;0.9955;0.9952;0.9952;0.9999
25;0.9955;0.9952;0.9952;0.9999
26;0.9955;0.9952;0.9952;0.9999
27;0.9955;0.9952;0.9952;0.9999
28;0.9955;0.9952;0.9952;0.9999
29;0.9955;0.9952;0.9952;1.0
30;0.9955;0.9952;0.9952;1.0
31;0.9955;0.9952;0.9952;1.0
32;0.9955;0.9952;0.9952;1.0
33;0.9955;0.9952;0.9952;1.0
34;0.9955;0.9952;0.9952;1.0
35;0.9955;0.9952;0.9952;1.0
36;0.9955;0.9952;0.9952;1.0
37;0.9955;0.9952;0.9952;1.0
38;0.9955;0.9952;0.9952;1.0
39;0.9955;0.9952;0.9952;1.0
40;0.9955;0.9952;0.9952;1.0
41;0.9955;0.9952;0.9952;1.0
42;0.9955;0.9952;0.9952;1.0
43;0.9955;0.9952;0.9952;1.0
44;0.9955;0.9952;0.9952;1.0
45;0.9955;0.9952;0.9952;1.0
46;0.9955;0.9952;0.9952;1.0
47;0.9955;0.9952;0.9952;1.0
48;0.9955;0.9952;0.9952;1.0
49;0.9955;0.9952;0.9952;1.0
50;0.9955;0.9952;0.9952;1.0
51;0.9955;0.9952;0.9952;1.0
52;0.9955;0.9952;0.9952;1.0
53;0.9955;0.9952;0.9952;1.0
54;0.9955;0.9952;0.9952;1.0
55;0.9955;0.9952;0.9952;1.0
56;0.9955;0.9952;0.9952;1.0
57;0.9955;0.9952;0.9952;1.0
58;0.9955;0.9952;0.9952;1.0
59;0.9955;0.9952;0.9952;1.0
60;0.9955;0.9952;0.9952;1.0
61;0.9955;0.9952;0.9952;1.0
62;0.9955;0.9952;0.9952;1.0
63;0.9955;0.9952;0.9952;1.0
64;0.9955;0.9952;0.9952;1.0
65;0.9955;0.9952;0.9952;1.0
66;0.9955;0.9952;0.9952;1.0
67;0.9955;0.9952;0.9952;1.0
68;0.9955;0.9952;0.9952;1.0
69;0.9955;0.9952;0.9952;1.0
70;0.9955;0.9952;0.9952;1.0
71;0.9955;0.9952;0.9952;1.0
72;0.9955;0.9952;0.9952;1.0
73;0.9955;0.9952;0.9952;1.0
74;0.9955;0.9952;0.9952;1.0
75;0.9955;0.9952;0.9952;1.0
76;0.9955;0.9952;0.9952;1.0
77;0.9955;0.9952;0.9952;1.0
78;0.9955;0.9952;0.9952;1.0
79;0.9955;0.9952;0.9952;1.0
80;0.9955;0.9952;0.9952;1.0
81;0.9955;0.9952;0.9952;1.0
82;0.9955;0.9952;0.9952;1.0
83;0.9955;0.9952;0.9952;1.0
84;0.9955;0.9952;0.9952;1.0
85;0.9955;0.9952;0.9952;1.0
86;0.9955;0.9952;0.9952;1.0
87;0.9955;0.9952;0.9952;1.0
88;0.9955;0.9952;0.9952;1.0
89;0.9955;0.9952;0.9952;1.0
90;0.9955;0.9952;0.9952;1.0
91;0.9955;0.9952;0.9952;1.0
92;0.9955;0.9952;0.9952;1.0
93;0.9955;0.9952;0.9952;1.0
94;0.9955;0.9952;0.9952;1.0
95;0.9955;0.9952;0.9952;1.0
96;0.9955;0.9952;0.9952;1.0
97;0.9955;0.9952;0.9952;1.0
98;0.9955;0.9952;0.9952;1.0
99;0.9955;0.9952;0.9952;1.0
100;0.9955;0.9952;0.9952;1.0
