epoch,precision,recall,f1,auc
1,0.519,0.1005,0.0559,0.6208
2,0.322,0.177,0.1292,0.567
3,0.3642,0.2129,0.1483,0.6643
4,0.2473,0.2632,0.2223,0.7482
5,0.2397,0.2823,0.2426,0.8739
6,0.3055,0.3278,0.3083,0.8663
7,0.3602,0.3541,0.3437,0.8637
8,0.359,0.3636,0.3539,0.8965
9,0.3829,0.3756,0.3699,0.8754
10,0.4395,0.4378,0.4325,0.9279
11,0.4511,0.4498,0.443,0.9245
12,0.4378,0.4426,0.4382,0.9096
13,0.469,0.4641,0.4575,0.9202
14,0.5325,0.5359,0.5322,0.9191
15,0.5428,0.5359,0.534,0.9343
16,0.5424,0.5287,0.5314,0.9264
17,0.5349,0.5311,0.5283,0.9316
18,0.5455,0.5431,0.5394,0.9003
19,0.5746,0.5598,0.5507,0.919
20,0.5943,0.5909,0.5871,0.9419
21,0.5893,0.5909,0.5864,0.9358
22,0.6003,0.5981,0.5941,0.9358
23,0.6235,0.61,0.6102,0.9245
24,0.6454,0.6411,0.6387,0.9326
25,0.639,0.6244,0.6224,0.9275
26,0.6954,0.6938,0.6933,0.9399
27,0.6277,0.6172,0.6186,0.9353
28,0.6677,0.6603,0.6592,0.921
29,0.6322,0.622,0.6162,0.9481
30,0.6451,0.634,0.6345,0.9352
31,0.693,0.6938,0.6899,0.9407
32,0.7058,0.6986,0.6961,0.9437
33,0.694,0.6818,0.679,0.9368
34,0.6119,0.6053,0.6022,0.9112
35,0.6527,0.6531,0.6419,0.9395
36,0.683,0.677,0.674,0.8991
37,0.7017,0.689,0.6854,0.9529
38,0.7285,0.7201,0.7206,0.9526
39,0.6806,0.6746,0.67,0.9443
40,0.6347,0.6268,0.6123,0.9259
41,0.7312,0.7225,0.72,0.9309
42,0.7014,0.6914,0.6915,0.9547
43,0.7145,0.701,0.702,0.9384
44,0.6776,0.6722,0.6723,0.9391
45,0.6411,0.6364,0.6241,0.9251
46,0.6798,0.6603,0.6625,0.9288
47,0.6898,0.6818,0.6812,0.9172
48,0.6836,0.6699,0.6703,0.9479
49,0.6685,0.6531,0.6552,0.9268
50,0.6884,0.677,0.6775,0.9337
51,0.7298,0.7201,0.7155,0.9227
52,0.7382,0.7273,0.724,0.9287
53,0.6995,0.6818,0.6848,0.9364
54,0.75,0.744,0.7418,0.9479
55,0.7934,0.7871,0.7874,0.9634
56,0.7739,0.7656,0.7651,0.9644
57,0.7586,0.7488,0.7483,0.9505
58,0.7625,0.756,0.7558,0.9657
59,0.7872,0.7799,0.7799,0.9619
60,0.7872,0.7823,0.7804,0.9587
61,0.7137,0.6962,0.6976,0.9602
62,0.707,0.6986,0.6958,0.9523
63,0.7066,0.701,0.6972,0.964
64,0.7574,0.7368,0.7381,0.9571
65,0.7181,0.6938,0.697,0.926
66,0.7586,0.7512,0.7525,0.95
67,0.7675,0.7512,0.7497,0.9531
68,0.7248,0.7153,0.7152,0.9613
69,0.7492,0.7344,0.733,0.9565
70,0.7795,0.7679,0.7693,0.9573
71,0.6836,0.6675,0.6658,0.9415
72,0.7626,0.7488,0.746,0.9636
73,0.7717,0.7584,0.7583,0.9464
74,0.7712,0.7632,0.7615,0.9562
75,0.7863,0.7727,0.773,0.9696
76,0.8138,0.8014,0.8033,0.9648
77,0.8279,0.823,0.8232,0.9607
78,0.8277,0.8206,0.8217,0.9627
79,0.8106,0.8062,0.8058,0.9587
80,0.828,0.8206,0.8204,0.9611
81,0.8019,0.7919,0.7912,0.9615
82,0.778,0.7703,0.7714,0.9541
83,0.7511,0.7344,0.736,0.9346
84,0.7271,0.7105,0.7141,0.9427
85,0.7624,0.7297,0.7281,0.9592
86,0.7641,0.7488,0.7486,0.9645
87,0.7959,0.7871,0.788,0.9628
88,0.8205,0.8158,0.8172,0.9655
89,0.8006,0.7919,0.7926,0.9654
90,0.7985,0.7871,0.7878,0.9696
91,0.8015,0.7871,0.7883,0.9676
92,0.7789,0.7679,0.7688,0.9676
93,0.7812,0.7751,0.7746,0.9659
94,0.7941,0.7871,0.7887,0.9703
95,0.82,0.8158,0.8163,0.967
96,0.8039,0.7943,0.7953,0.9623
97,0.8104,0.8038,0.8033,0.9681
98,0.8153,0.8062,0.8063,0.9679
99,0.8087,0.8014,0.8016,0.9649
100,0.826,0.8206,0.8208,0.9645
